%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1583533929090954013,20171,1583533929090806723,mocap,0.508192912797,1.66076783619,0.046508834911,0.00850268578672,-0.0217643266447,-0.69701248092,0.716678184307
1583533929100944757,20172,1583533929100745916,mocap,0.508187850003,1.6607758811,0.0464591505272,0.00833421031665,-0.0220315650134,-0.69696034496,0.716722699958
1583533929111190636,20173,1583533929110953808,mocap,0.508183160703,1.66081174185,0.0464787079471,0.00819875193461,-0.0220166008559,-0.696978944325,0.716706635187
1583533929121145968,20174,1583533929120706320,mocap,0.50818641324,1.66084702861,0.0465445339077,0.00848524628963,-0.0222920184971,-0.697004921908,0.716669523102
1583533929134363305,20175,1583533929134173393,mocap,0.508172556494,1.6608151266,0.0465660520198,0.00874886458545,-0.0224286925322,-0.69697309102,0.716693045532
1583533929141717817,20176,1583533929141266823,mocap,0.508187632583,1.66075866952,0.0465578621339,0.00879993633453,-0.0222539396355,-0.696969170522,0.716701680362
1583533929151088807,20177,1583533929150878191,mocap,0.508196367687,1.66074956839,0.0465626519602,0.00868517634394,-0.0219441738667,-0.69701353319,0.716669488324
1583533929160977350,20178,1583533929160783052,mocap,0.508185238492,1.66077817529,0.0465753532658,0.0085866001317,-0.0219779913269,-0.696959473413,0.716722213005
1583533929171209677,20179,1583533929170970201,mocap,0.508171077898,1.6608010208,0.0465574738046,0.00877381675198,-0.0223593032351,-0.696948765698,0.716718563797
1583533929182320346,20180,1583533929181377888,mocap,0.508155225998,1.66079963775,0.0465295715727,0.00880896839718,-0.0225929868322,-0.696881158195,0.716776541451
1583533929192138317,20181,1583533929190884590,mocap,0.508131654889,1.66080097652,0.0465173081091,0.00877641610801,-0.0226048007531,-0.696782028075,0.716872933549
1583533929201621842,20182,1583533929200674295,mocap,0.508119586035,1.6608060519,0.0465372469435,0.00956065121341,-0.0232139551154,-0.69672300959,0.716900797979
1583533929211732880,20183,1583533929210789204,mocap,0.50811943931,1.66080281358,0.0465642620237,0.00993388601759,-0.0234001157463,-0.696705209772,0.716906969674
1583533929222091159,20184,1583533929220873594,mocap,0.508131649639,1.66078526854,0.0465831905837,0.0103130824969,-0.0236770609966,-0.696671172295,0.716925599212
1583533929231880676,20185,1583533929230636597,mocap,0.508132833503,1.66082202282,0.0466030318357,0.0100935971811,-0.023666083022,-0.696654547222,0.716945240339
1583533929242549291,20186,1583533929241268635,mocap,0.508103516814,1.66087919998,0.0466169282097,0.0102142257265,-0.0241929184126,-0.696452839059,0.717121897071
1583533929251932883,20187,1583533929250992298,mocap,0.508079350595,1.66086990228,0.0465985662439,0.0102855301852,-0.0245009235613,-0.696362707726,0.717197944714
1583533929261422531,20188,1583533929260621071,mocap,0.50807821653,1.66079545791,0.0465563876917,0.0106726751361,-0.0249058943882,-0.696426069892,0.717116810293
1583533929271836723,20189,1583533929270868540,mocap,0.508072541424,1.66077167675,0.0465480419988,0.010857886117,-0.0248165799525,-0.696450780413,0.717093127935
1583533929281559758,20190,1583533929280731916,mocap,0.508088865347,1.6608044127,0.0465619256842,0.0106569827079,-0.0242426160602,-0.696532657185,0.717036248568
1583533929291653648,20191,1583533929290801048,mocap,0.508086975986,1.66082572725,0.0465830264321,0.0108769917952,-0.0244556678781,-0.696402662199,0.717151966769
1583533929301634403,20192,1583533929300724983,mocap,0.508075098367,1.66080394575,0.0466002552953,0.0110002755804,-0.0247040601084,-0.696314437111,0.717227235973
1583533929311589060,20193,1583533929310496092,mocap,0.508062667819,1.66080351099,0.0466122139671,0.0111366994414,-0.025226008106,-0.69612539445,0.717390449924
1583533929321990777,20194,1583533929320914507,mocap,0.508051370655,1.66082366576,0.0466035020176,0.0107547201206,-0.0251897554469,-0.69613446485,0.717388750304
1583533929331637397,20195,1583533929330568314,mocap,0.508046645048,1.66079329658,0.0465741013834,0.0105641369518,-0.0249050536459,-0.696179365877,0.717357949591
1583533929343154688,20196,1583533929342047215,mocap,0.508066482864,1.66074505776,0.0465548408801,0.0106083958086,-0.024617712663,-0.696324128571,0.71722669926
1583533929351852917,20197,1583533929351048708,mocap,0.508080510806,1.66077247535,0.0465602238645,0.0107926836835,-0.0243974814358,-0.696422779121,0.717135687021
1583533929361526875,20198,1583533929360549688,mocap,0.508081232052,1.66087058068,0.0465839654914,0.0108221999398,-0.0243997751397,-0.696357963556,0.717198102029
1583533929371449270,20199,1583533929370635271,mocap,0.508073584752,1.66092108372,0.0466105627346,0.0107717928614,-0.0244255693753,-0.696395170301,0.717161855386
1583533929381262156,20200,1583533929380690098,mocap,0.508058884443,1.66087342628,0.0466086873279,0.0108954704904,-0.0248003380715,-0.696359220302,0.717182032859
1583533929391916001,20201,1583533929391321898,mocap,0.508044567928,1.66083130945,0.0466152649766,0.0110880001863,-0.0251895665807,-0.696283050044,0.717239469222
1583533929401315072,20202,1583533929400740147,mocap,0.508058437946,1.66083313204,0.0465903719169,0.0106333462718,-0.0247627692509,-0.696289882912,0.71725458253
1583533929410751347,20203,1583533929410642624,mocap,0.508061706062,1.66082157496,0.046580288762,0.0108554451859,-0.0247842425369,-0.6963006192,0.717240091136
1583533929420598471,20204,1583533929420490742,mocap,0.508104062321,1.66077378361,0.0465699745183,0.0102348416263,-0.0239424596616,-0.696471480899,0.717111904054
1583533929432667492,20205,1583533929432213306,mocap,0.508111366581,1.66079300004,0.046597792309,0.0102217096234,-0.0238037305739,-0.696512195936,0.71707716459
